library,symbol,kind,titles,pct_of_corpus,implemented
gx2,GX2SetSwapInterval,functions,3,75.0,no
gx2,GX2SetTVBuffer,functions,3,75.0,no
gx2,GX2SetTVEnable,functions,3,75.0,no
gx2,GX2SetTVScale,functions,3,75.0,no
gx2,GX2SetVertexShader,functions,3,75.0,no
gx2,GX2SetVertexUniformReg,functions,3,75.0,no
gx2,GX2SetViewport,functions,3,75.0,no
gx2,GX2SetupContextStateEx,functions,3,75.0,no
gx2,GX2Shutdown,functions,3,75.0,no
gx2,GX2SwapScanBuffers,functions,3,75.0,no
proc_ui,ProcUIDrawDoneRelease,functions,3,75.0,no
proc_ui,ProcUIProcessMessages,functions,3,75.0,no
proc_ui,ProcUIRegisterCallback,functions,3,75.0,no
proc_ui,ProcUIShutdown,functions,3,75.0,no
proc_ui,ProcUISubProcessMessages,functions,3,75.0,no
sndcore2,AXAcquireVoice,functions,3,75.0,no
sndcore2,AXFreeVoice,functions,3,75.0,no
sndcore2,AXGetInputSamplesPerFrame,functions,3,75.0,no
sndcore2,AXGetInputSamplesPerSec,functions,3,75.0,no
sndcore2,AXGetVoiceLoopCount,functions,3,75.0,no
sndcore2,AXGetVoiceOffsets,functions,3,75.0,no
sndcore2,AXInitWithParams,functions,3,75.0,no
sndcore2,AXIsInit,functions,3,75.0,no
sndcore2,AXQuit,functions,3,75.0,no
sndcore2,AXRegisterAppFrameCallback,functions,3,75.0,no
sndcore2,AXSetVoiceDeviceMix,functions,3,75.0,no
sndcore2,AXSetVoiceEndOffset,functions,3,75.0,no
sndcore2,AXSetVoiceLoopOffset,functions,3,75.0,no
sndcore2,AXSetVoiceOffsets,functions,3,75.0,no
sndcore2,AXSetVoiceSrcRatio,functions,3,75.0,no
sndcore2,AXSetVoiceSrcType,functions,3,75.0,no
sndcore2,AXSetVoiceState,functions,3,75.0,no
sndcore2,AXSetVoiceType,functions,3,75.0,no
sndcore2,AXSetVoiceVe,functions,3,75.0,no
sysapp,SYSRelaunchTitle,functions,3,75.0,no
vpad,VPADGetTPCalibratedPoint,functions,3,75.0,no
vpad,VPADInit,functions,3,75.0,no
vpad,VPADRead,functions,3,75.0,no
coreinit,FSAAddClient,functions,2,50.0,no
coreinit,FSAChangeDir,functions,2,50.0,no
coreinit,FSAChangeMode,functions,2,50.0,no
coreinit,FSACloseDir,functions,2,50.0,no
coreinit,FSACloseFile,functions,2,50.0,no
coreinit,FSADelClient,functions,2,50.0,no
coreinit,FSAFlushFile,functions,2,50.0,no
coreinit,FSAGetDeviceInfo,functions,2,50.0,no
coreinit,FSAGetFreeSpaceSize,functions,2,50.0,no
coreinit,FSAGetStat,functions,2,50.0,no
coreinit,FSAGetStatFile,functions,2,50.0,no
coreinit,FSAInit,functions,2,50.0,no
coreinit,FSAMakeDir,functions,2,50.0,no
coreinit,FSAMount,functions,2,50.0,no
coreinit,FSAOpenDir,functions,2,50.0,no
coreinit,FSAOpenFileEx,functions,2,50.0,no
coreinit,FSAReadDir,functions,2,50.0,no
coreinit,FSAReadFile,functions,2,50.0,no
coreinit,FSARemove,functions,2,50.0,no
coreinit,FSARename,functions,2,50.0,no
coreinit,FSARewindDir,functions,2,50.0,no
coreinit,FSASetPosFile,functions,2,50.0,no
coreinit,FSATruncateFile,functions,2,50.0,no
coreinit,FSAUnmount,functions,2,50.0,no
coreinit,FSAWriteFile,functions,2,50.0,no
coreinit,FSAddClient,functions,2,50.0,yes
coreinit,FSChangeDir,functions,2,50.0,yes
coreinit,FSChangeMode,functions,2,50.0,no
coreinit,FSCloseDir,functions,2,50.0,yes
coreinit,FSCloseFile,functions,2,50.0,yes
coreinit,FSDelClient,functions,2,50.0,yes
coreinit,FSFlushFile,functions,2,50.0,no
coreinit,FSGetMountSource,functions,2,50.0,yes
coreinit,FSGetPosFile,functions,2,50.0,yes
coreinit,FSGetStatFile,functions,2,50.0,yes
coreinit,FSInit,functions,2,50.0,yes
coreinit,FSInitCmdBlock,functions,2,50.0,yes
coreinit,FSMakeDir,functions,2,50.0,yes
coreinit,FSMount,functions,2,50.0,yes
coreinit,FSOpenDir,functions,2,50.0,yes
coreinit,FSOpenFile,functions,2,50.0,yes
coreinit,FSReadDir,functions,2,50.0,yes
coreinit,FSReadFile,functions,2,50.0,yes
coreinit,FSRemove,functions,2,50.0,yes
coreinit,FSRename,functions,2,50.0,yes
coreinit,FSRewindDir,functions,2,50.0,no
coreinit,FSSetPosFile,functions,2,50.0,yes
coreinit,FSTruncateFile,functions,2,50.0,no
coreinit,FSWriteFile,functions,2,50.0,yes
coreinit,MEMGetSizeForMBlockExpHeap,functions,2,50.0,no
coreinit,OSCancelThread,functions,2,50.0,yes
coreinit,OSCompareAndSwapAtomicEx,functions,2,50.0,no
coreinit,OSDetachThread,functions,2,50.0,yes
coreinit,OSEffectiveToPhysical,functions,2,50.0,no
coreinit,OSFastMutex_Init,functions,2,50.0,no
coreinit,OSFastMutex_Lock,functions,2,50.0,no
coreinit,OSFastMutex_Unlock,functions,2,50.0,no
coreinit,OSGetSemaphoreCount,functions,2,50.0,yes
coreinit,OSIsDebuggerInitialized,functions,2,50.0,yes
coreinit,OSIsDebuggerPresent,functions,2,50.0,yes
coreinit,OSScreenShutdown,functions,2,50.0,no
coreinit,OSSetThreadName,functions,2,50.0,yes
coreinit,OSTryLockMutex,functions,2,50.0,yes
coreinit,OSWaitSemaphore,functions,2,50.0,yes
coreinit,_Exit,functions,2,50.0,yes
gx2,GX2ClearDepthStencilEx,functions,2,50.0,no
gx2,GX2GetLastSubmittedTimeStamp,functions,2,50.0,no
gx2,GX2GetRetiredTimeStamp,functions,2,50.0,no
gx2,GX2GetSwapInterval,functions,2,50.0,no
gx2,GX2InitDepthBufferRegs,functions,2,50.0,no
gx2,GX2RInvalidateSurface,functions,2,50.0,no
gx2,GX2SetDepthBuffer,functions,2,50.0,no
gx2,GX2SetPixelUniformReg,functions,2,50.0,no
gx2,GX2WaitForVsync,functions,2,50.0,no
gx2,GX2WaitTimeStamp,functions,2,50.0,no
padscore,KPADInit,functions,2,50.0,no
padscore,KPADReadEx,functions,2,50.0,no
padscore,WPADEnableURCC,functions,2,50.0,no
padscore,WPADProbe,functions,2,50.0,no
proc_ui,ProcUIInShutdown,functions,2,50.0,no
proc_ui,ProcUIIsRunning,functions,2,50.0,no
sndcore2,AXInit,functions,2,50.0,no
sndcore2,AXVoiceBegin,functions,2,50.0,no
sndcore2,AXVoiceEnd,functions,2,50.0,no
coreinit,DCFlushRangeNoSync,functions,1,25.0,no
coreinit,DCInvalidateRange,functions,1,25.0,yes
coreinit,DCStoreRangeNoSync,functions,1,25.0,no
coreinit,DCTouchRange,functions,1,25.0,yes
coreinit,DCZeroRange,functions,1,25.0,yes
coreinit,FSBindMount,functions,1,25.0,no
coreinit,FSBindUnmount,functions,1,25.0,no
coreinit,FSChangeDirAsync,functions,1,25.0,no
coreinit,FSChangeModeAsync,functions,1,25.0,no
coreinit,FSCloseDirAsync,functions,1,25.0,no
coreinit,FSCloseFileAsync,functions,1,25.0,no
coreinit,FSFlushFileAsync,functions,1,25.0,no
coreinit,FSGetClientNum,functions,1,25.0,yes
coreinit,FSGetCwd,functions,1,25.0,yes
coreinit,FSGetFreeSpaceSize,functions,1,25.0,no
coreinit,FSGetFreeSpaceSizeAsync,functions,1,25.0,no
coreinit,FSGetLastErrorCodeForViewer,functions,1,25.0,yes
coreinit,FSGetPosFileAsync,functions,1,25.0,no
coreinit,FSGetStat,functions,1,25.0,no
coreinit,FSGetStatAsync,functions,1,25.0,no
coreinit,FSGetStatFileAsync,functions,1,25.0,no
coreinit,FSGetVolumeState,functions,1,25.0,yes
coreinit,FSMakeDirAsync,functions,1,25.0,no
coreinit,FSOpenDirAsync,functions,1,25.0,no
coreinit,FSOpenFileAsync,functions,1,25.0,no
coreinit,FSReadDirAsync,functions,1,25.0,no
coreinit,FSReadFileAsync,functions,1,25.0,no
coreinit,FSReadFileWithPos,functions,1,25.0,yes
coreinit,FSReadFileWithPosAsync,functions,1,25.0,no
coreinit,FSRemoveAsync,functions,1,25.0,no
coreinit,FSRenameAsync,functions,1,25.0,no
coreinit,FSSetCmdPriority,functions,1,25.0,no
coreinit,FSSetPosFileAsync,functions,1,25.0,no
coreinit,FSSetStateChangeNotification,functions,1,25.0,yes
coreinit,FSShutdown,functions,1,25.0,yes
coreinit,FSTruncateFileAsync,functions,1,25.0,no
coreinit,FSUnmount,functions,1,25.0,no
coreinit,FSWriteFileAsync,functions,1,25.0,no
coreinit,FSWriteFileWithPos,functions,1,25.0,no
coreinit,FSWriteFileWithPosAsync,functions,1,25.0,no
coreinit,ICInvalidateRange,functions,1,25.0,yes
coreinit,IOS_Close,functions,1,25.0,no
coreinit,IOS_Ioctl,functions,1,25.0,no
coreinit,IOS_IoctlAsync,functions,1,25.0,no
coreinit,IOS_Open,functions,1,25.0,no
coreinit,MCP_Close,functions,1,25.0,no
coreinit,MCP_DeleteTitleAsync,functions,1,25.0,no
coreinit,MCP_DeviceList,functions,1,25.0,no
coreinit,MCP_FullDeviceList,functions,1,25.0,no
coreinit,MCP_InstallGetInfo,functions,1,25.0,no
coreinit,MCP_InstallGetProgress,functions,1,25.0,no
coreinit,MCP_InstallGetTargetDevice,functions,1,25.0,no
coreinit,MCP_InstallSetTargetDevice,functions,1,25.0,no
coreinit,MCP_InstallSetTargetUsb,functions,1,25.0,no
coreinit,MCP_InstallTitleAbort,functions,1,25.0,no
coreinit,MCP_InstallTitleAsync,functions,1,25.0,no
coreinit,MCP_Open,functions,1,25.0,no
coreinit,MEMAddBlockHeapTracking,functions,1,25.0,no
coreinit,MEMAdjustExpHeap,functions,1,25.0,no
coreinit,MEMAdjustFrmHeap,functions,1,25.0,yes
coreinit,MEMAllocFromBlockHeapAt,functions,1,25.0,no
coreinit,MEMAllocFromBlockHeapEx,functions,1,25.0,no
coreinit,MEMAllocFromUnitHeap,functions,1,25.0,no
coreinit,MEMAppendListObject,functions,1,25.0,no
coreinit,MEMCalcHeapSizeForUnitHeap,functions,1,25.0,no
coreinit,MEMCountFreeBlockForUnitHeap,functions,1,25.0,no
coreinit,MEMCreateFrmHeapEx,functions,1,25.0,yes
coreinit,MEMCreateUnitHeapEx,functions,1,25.0,no
coreinit,MEMDestroyBlockHeap,functions,1,25.0,no
coreinit,MEMDestroyFrmHeap,functions,1,25.0,yes
coreinit,MEMDestroyUnitHeap,functions,1,25.0,no
coreinit,MEMDumpHeap,functions,1,25.0,no
coreinit,MEMFindContainHeap,functions,1,25.0,no
coreinit,MEMFreeToBlockHeap,functions,1,25.0,no
coreinit,MEMFreeToUnitHeap,functions,1,25.0,no
coreinit,MEMGetAllocDirForMBlockExpHeap,functions,1,25.0,no
coreinit,MEMGetAllocModeForExpHeap,functions,1,25.0,yes
coreinit,MEMGetAllocatableSizeForBlockHeapEx,functions,1,25.0,no
coreinit,MEMGetArena,functions,1,25.0,no
