title,library,symbol,kind
crispy-doom-u,gx2,GX2GetSystemDRCScanMode,functions
crispy-doom-u,gx2,GX2GetSystemTVScanMode,functions
crispy-doom-u,gx2,GX2Init,functions
crispy-doom-u,gx2,GX2InitColorBufferRegs,functions
crispy-doom-u,gx2,GX2InitFetchShaderEx,functions
crispy-doom-u,gx2,GX2InitSampler,functions
crispy-doom-u,gx2,GX2InitTextureRegs,functions
crispy-doom-u,gx2,GX2Invalidate,functions
crispy-doom-u,gx2,GX2RCreateBuffer,functions
crispy-doom-u,gx2,GX2RCreateSurface,functions
crispy-doom-u,gx2,GX2RCreateSurfaceUserMemory,functions
crispy-doom-u,gx2,GX2RDestroyBufferEx,functions
crispy-doom-u,gx2,GX2RDestroySurfaceEx,functions
crispy-doom-u,gx2,GX2RLockBufferEx,functions
crispy-doom-u,gx2,GX2RLockSurfaceEx,functions
crispy-doom-u,gx2,GX2RSetAllocator,functions
crispy-doom-u,gx2,GX2RSetAttributeBuffer,functions
crispy-doom-u,gx2,GX2RUnlockBufferEx,functions
crispy-doom-u,gx2,GX2RUnlockSurfaceEx,functions
crispy-doom-u,gx2,GX2SetAlphaTest,functions
crispy-doom-u,gx2,GX2SetBlendControl,functions
crispy-doom-u,gx2,GX2SetColorBuffer,functions
crispy-doom-u,gx2,GX2SetColorControl,functions
crispy-doom-u,gx2,GX2SetContextState,functions
crispy-doom-u,gx2,GX2SetCullOnlyControl,functions
crispy-doom-u,gx2,GX2SetDRCBuffer,functions
crispy-doom-u,gx2,GX2SetDRCEnable,functions
crispy-doom-u,gx2,GX2SetDRCScale,functions
crispy-doom-u,gx2,GX2SetDepthOnlyControl,functions
crispy-doom-u,gx2,GX2SetFetchShader,functions
crispy-doom-u,gx2,GX2SetLineWidth,functions
crispy-doom-u,gx2,GX2SetPixelSampler,functions
crispy-doom-u,gx2,GX2SetPixelShader,functions
crispy-doom-u,gx2,GX2SetPixelTexture,functions
crispy-doom-u,gx2,GX2SetPointSize,functions
crispy-doom-u,gx2,GX2SetScissor,functions
crispy-doom-u,gx2,GX2SetSwapInterval,functions
crispy-doom-u,gx2,GX2SetTVBuffer,functions
crispy-doom-u,gx2,GX2SetTVEnable,functions
crispy-doom-u,gx2,GX2SetTVScale,functions
crispy-doom-u,gx2,GX2SetVertexShader,functions
crispy-doom-u,gx2,GX2SetVertexUniformReg,functions
crispy-doom-u,gx2,GX2SetViewport,functions
crispy-doom-u,gx2,GX2SetupContextStateEx,functions
crispy-doom-u,gx2,GX2Shutdown,functions
crispy-doom-u,gx2,GX2SwapScanBuffers,functions
crispy-doom-u,gx2,GX2WaitTimeStamp,functions
crispy-doom-u,padscore,KPADInit,functions
crispy-doom-u,padscore,KPADReadEx,functions
crispy-doom-u,padscore,KPADShutdown,functions
crispy-doom-u,padscore,WPADEnableURCC,functions
crispy-doom-u,padscore,WPADEnableWiiRemote,functions
crispy-doom-u,padscore,WPADProbe,functions
crispy-doom-u,proc_ui,ProcUIDrawDoneRelease,functions
crispy-doom-u,proc_ui,ProcUIInShutdown,functions
crispy-doom-u,proc_ui,ProcUIInitEx,functions
crispy-doom-u,proc_ui,ProcUIIsRunning,functions
