library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,OSSetThreadSpecific,functions,1,100.0,yes
coreinit,OSSignalCond,functions,1,100.0,yes
coreinit,OSSignalEvent,functions,1,100.0,no
coreinit,OSSignalSemaphore,functions,1,100.0,no
coreinit,OSSleepTicks,functions,1,100.0,yes
coreinit,OSSwapAtomic64,functions,1,100.0,no
coreinit,OSTestThreadCancel,functions,1,100.0,no
coreinit,OSTryAcquireSpinLockWithTimeout,functions,1,100.0,no
coreinit,OSTryLockMutex,functions,1,100.0,yes
coreinit,OSTryWaitSemaphore,functions,1,100.0,no
coreinit,OSUnlockMutex,functions,1,100.0,yes
coreinit,OSWaitCond,functions,1,100.0,yes
coreinit,OSWaitEvent,functions,1,100.0,no
coreinit,OSWaitEventWithTimeout,functions,1,100.0,no
coreinit,OSWaitSemaphore,functions,1,100.0,no
coreinit,OSYieldThread,functions,1,100.0,no
coreinit,PPCSync,functions,1,100.0,no
coreinit,UCClose,functions,1,100.0,no
coreinit,UCDeleteSysConfig,functions,1,100.0,no
coreinit,UCOpen,functions,1,100.0,no
coreinit,UCReadSysConfig,functions,1,100.0,no
coreinit,UCWriteSysConfig,functions,1,100.0,no
coreinit,_Exit,functions,1,100.0,yes
coreinit,__atexit_cleanup,data,1,100.0,no
coreinit,__cpp_exception_cleanup_ptr,data,1,100.0,no
coreinit,__cpp_exception_init_ptr,data,1,100.0,no
coreinit,__gh_FOPEN_MAX,data,1,100.0,no
coreinit,__gh_errno_ptr,functions,1,100.0,no
coreinit,__gh_get_errno,functions,1,100.0,no
coreinit,__gh_set_errno,functions,1,100.0,no
coreinit,__ghsLock,functions,1,100.0,no
coreinit,__ghsUnlock,functions,1,100.0,no
coreinit,__ghs_flock_create,functions,1,100.0,no
coreinit,__ghs_flock_destroy,functions,1,100.0,no
coreinit,__ghs_flock_file,functions,1,100.0,no
coreinit,__ghs_flock_ptr,functions,1,100.0,no
coreinit,__ghs_ftrylock_file,functions,1,100.0,no
coreinit,__ghs_funlock_file,functions,1,100.0,no
coreinit,__stdio_cleanup,data,1,100.0,no
coreinit,_iob,data,1,100.0,no
coreinit,environ,data,1,100.0,no
coreinit,exit,functions,1,100.0,yes
coreinit,memcpy,functions,1,100.0,yes
coreinit,memmove,functions,1,100.0,yes
coreinit,memset,functions,1,100.0,yes
dmae.rpl,DMAECopyMem,functions,1,100.0,no
dmae.rpl,DMAEFillMem,functions,1,100.0,no
gx2,GX2AllocateTilingApertureEx,functions,1,100.0,no
